origen,destino,linea_origen,linea_destino,franja_horaria,dia_semana,es_festivo,distancia_km,misma_linea,origen_es_transbordo,destino_es_transbordo,ocupacion_vagon,tiempo_espera_min,num_paradas_estimadas,tarifa_cop,requiere_transbordo,congestion_alta
Caribe,La Estrella,A,A,noche,6,0,14.303,1,0,0,0.27,7,4,3300,0,0
Bello,Poblado,A,A,mañana_pico,6,0,13.717,1,0,0,0.82,2,16,3300,0,1
Hospital,San Javier,A,B,tarde_pico,4,0,5.018,0,0,1,0.82,4,3,3300,1,1
La Sierra,La Aurora,M,J,tarde_pico,2,0,10.286,0,0,0,0.79,5,12,3300,1,1
Alpujarra,Loyola,A,T,madrugada,3,0,3.969,0,0,0,0.14,12,8,3300,1,0
Envigado,La Independencia,A,K,madrugada,2,0,15.463,0,0,0,0.18,9,3,3300,1,0
Santa Lucía,Andalucía,B,K,tarde_pico,7,0,6.884,0,0,0,0.84,5,17,3300,1,1
Alejandro Echavarría,Andalucía,T,K,noche,7,0,6.374,0,0,0,0.26,7,16,3300,1,0
La Estrella,Caribe,A,A,tarde_pico,7,0,14.303,1,0,0,0.83,3,4,3300,0,0
Buenos Aires,Alpujarra,T,A,mañana_pico,2,0,3.342,0,0,0,0.95,3,2,3300,1,1
Bicentenario,Caribe,T,A,noche,4,0,4.053,0,0,0,0.19,12,5,3300,1,0
Santo Domingo,Ayurá,K,A,mañana_valle,6,0,14.288,0,1,0,0.53,4,3,3300,1,0
Suramericana,Villa Sierra,B,K,tarde_pico,5,0,7.209,0,0,0,0.78,4,17,3300,1,1
Loyola,Niquía,T,A,noche,5,0,12.976,0,0,0,0.27,12,14,3300,1,0
Hospital,Bicentenario,A,T,mañana_pico,2,0,2.234,0,0,0,0.89,2,4,3300,1,1
Villa Sierra,Universidad,K,A,mañana_valle,7,0,4.372,0,0,0,0.39,7,9,3300,1,0
Suramericana,Juan XXIII,B,J,tarde_valle,5,0,4.276,0,0,0,0.37,5,9,3300,1,1
Miraflores,Parque Berrío,T,A,tarde_valle,5,0,0.663,0,1,0,0.42,7,2,3300,1,0
Miraflores,Floresta,T,B,noche,2,0,4.621,0,1,0,0.16,9,9,3300,1,0
Trinidad,Bello,B,A,mañana_valle,7,0,9.525,0,0,0,0.38,7,4,3300,1,0
Poblado,Prado,A,A,mañana_valle,6,0,4.908,1,0,0,0.41,6,9,3300,0,0
Alejandro Echavarría,Arví,T,L,noche,1,0,8.148,0,0,0,0.19,7,14,3300,1,0
Oriente,La Aurora,T,J,mañana_valle,7,1,12.15,0,0,0,0.5,4,10,3300,1,0
Juan XXIII,Miraflores,J,T,mañana_pico,7,0,6.58,0,0,1,0.97,2,6,3300,1,1
Exposiciones,Industriales,A,A,madrugada,2,0,0.849,1,0,0,0.1,8,12,3300,0,0
Exposiciones,Itagüí,A,A,mañana_valle,7,0,8.492,1,0,0,0.4,4,1,3300,0,0
Aguacatala,Suramericana,A,B,tarde_pico,5,0,5.148,0,0,0,0.81,5,18,3300,1,1
Santa Lucía,Trinidad,B,B,mañana_pico,7,0,0.756,1,0,0,0.94,2,10,3300,0,1
Bello,Miraflores,A,T,madrugada,2,0,10.337,0,0,1,0.19,11,8,3300,1,0
La Sierra,Poblado,M,A,noche,2,0,3.698,0,0,0,0.2,9,17,3300,1,0
Bello,Niquía,A,A,tarde_pico,2,0,1.556,1,0,0,0.86,2,8,3300,0,1
Ayurá,Arví,A,L,mañana_valle,6,0,14.539,0,0,0,0.54,6,14,3300,1,0
Suramericana,Santa Lucía,B,B,tarde_pico,3,0,1.509,1,0,0,0.75,4,17,3300,0,1
Arví,Miraflores,L,T,tarde_valle,1,0,8.706,0,0,1,0.25,9,12,3300,1,0
Andalucía,Arví,K,L,tarde_valle,3,0,8.028,0,0,0,0.32,4,16,3300,1,0
Tricentenario,Santa Lucía,A,B,mañana_valle,6,0,5.161,0,0,0,0.38,6,9,3300,1,0
La Sierra,La Estrella,M,A,mañana_pico,2,0,10.961,0,0,0,0.88,3,2,3300,1,1
Santo Domingo,Miraflores,K,T,noche,3,0,7.538,0,1,1,0.29,11,1,3300,1,0
La Sierra,Oriente,M,T,mañana_valle,3,0,3.148,0,0,0,0.53,7,13,3300,1,1
Madera,Santo Domingo,A,K,noche,5,0,5.355,0,0,1,0.31,8,8,3300,1,0
La Aurora,La Sierra,J,M,tarde_pico,6,0,10.286,0,0,0,0.79,4,6,3300,1,1
Andalucía,Alpujarra,K,A,mañana_valle,1,0,6.889,0,0,0,0.42,6,18,3300,1,1
Alpujarra,Santa Lucía,A,B,noche,1,0,2.449,0,0,0,0.19,7,10,3300,1,0
Alejandro Echavarría,Floresta,T,B,mañana_valle,3,0,5.275,0,0,0,0.45,7,4,3300,1,1
Asomadera,Acevedo,T,A,noche,5,0,7.561,0,0,1,0.27,10,3,3300,1,0
Asomadera,Exposiciones,T,A,tarde_valle,1,0,5.078,0,0,0,0.47,7,17,3300,1,0
La Estrella,Bicentenario,A,T,madrugada,7,0,12.414,0,0,0,0.11,11,11,3300,1,0
Alejandro Echavarría,La Independencia,T,K,tarde_pico,2,0,6.883,0,0,0,0.78,3,3,3300,1,1
Oriente,Floresta,T,B,noche,2,0,8.248,0,0,0,0.21,6,1,3300,1,0
Buenos Aires,Envigado,T,A,mañana_pico,7,0,9.456,0,0,0,0.89,3,16,3300,1,1
Caribe,Parque Berrío,A,A,tarde_valle,4,0,3.386,1,0,0,0.41,7,14,3300,0,0
Asomadera,Suramericana,T,B,madrugada,1,0,5.374,0,0,0,0.15,13,1,3300,1,0
San Javier,La Aurora,B,J,mañana_pico,1,0,3.436,0,1,0,0.92,3,8,3300,1,1
Santa Lucía,La Estrella,B,A,mañana_pico,1,0,10.357,0,0,0,0.85,4,6,3300,1,1
Tricentenario,Madera,A,A,mañana_valle,3,0,3.79,1,0,0,0.41,8,17,3300,0,0
Floresta,Buenos Aires,B,T,noche,2,0,6.371,0,0,0,0.22,9,12,3300,1,0
Exposiciones,San Antonio,A,A,tarde_pico,1,0,1.208,1,0,1,0.76,3,7,3300,0,1
Bello,Santo Domingo,A,K,tarde_valle,2,0,6.677,0,0,1,0.28,9,2,3300,1,0
Suramericana,La Sierra,B,M,mañana_valle,7,0,3.905,0,0,0,0.31,4,4,3300,1,0
La Sierra,Bello,M,A,madrugada,6,0,12.439,0,0,0,0.11,15,13,3300,1,0
Hospital,Villa Sierra,A,K,mañana_valle,4,0,5.209,0,0,0,0.48,5,1,3300,1,0
La Estrella,Bicentenario,A,T,noche,1,0,12.414,0,0,0,0.28,8,5,3300,1,0
Alejandro Echavarría,Universidad,T,A,tarde_valle,6,0,2.604,0,0,0,0.4,6,4,3300,1,0
Universidad,Juan XXIII,A,J,mañana_pico,5,0,6.023,0,0,0,0.8,4,17,3300,1,1
Exposiciones,Trinidad,A,B,noche,4,0,1.616,0,0,0,0.21,6,18,3300,1,1
Oriente,Industriales,T,A,noche,4,0,6.19,0,0,0,0.22,6,1,3300,1,0
Caribe,Prado,A,A,tarde_valle,6,0,2.765,1,0,0,0.37,4,17,3300,0,0
Tricentenario,Hospital,A,A,mañana_valle,6,0,3.213,1,0,0,0.36,6,9,3300,0,0
Loyola,Acevedo,T,A,madrugada,7,1,7.233,0,0,1,0.1,12,12,3300,1,0
San Javier,Buenos Aires,B,T,noche,1,0,7.188,0,1,0,0.17,12,2,3300,1,1
Niquía,Parque Berrío,A,A,noche,6,0,11.485,1,0,0,0.18,8,15,3300,0,0
Arví,Envigado,L,A,noche,1,0,16.613,0,0,0,0.22,8,6,3300,1,0
Hospital,Alejandro Echavarría,A,T,tarde_pico,4,0,1.843,0,0,0,0.77,5,16,3300,1,1
Alejandro Echavarría,San Antonio,T,A,madrugada,2,0,1.746,0,0,1,0.17,8,6,3300,1,0
Universidad,Bicentenario,A,T,tarde_valle,4,0,2.911,0,0,0,0.45,9,15,3300,1,1
Alpujarra,Trece de Noviembre,A,M,tarde_pico,7,0,2.03,0,0,0,0.71,3,16,3300,1,1
Oriente,Hospital,T,A,tarde_pico,4,0,4.363,0,0,0,0.71,4,11,3300,1,1
Niquía,La Aurora,A,J,noche,5,0,8.937,0,0,0,0.29,7,11,3300,1,0
Vallejuelos,La Aurora,J,J,noche,6,0,1.029,1,0,0,0.27,9,8,3300,0,0
Asomadera,Santa Lucía,T,B,noche,6,0,6.859,0,0,0,0.28,7,18,3300,1,0
Arví,Acevedo,L,A,madrugada,6,0,9.028,0,0,1,0.19,15,16,3300,1,0
San Antonio,Tricentenario,A,A,tarde_pico,3,0,4.856,1,1,0,0.76,4,2,3300,0,1
Juan XXIII,Poblado,J,A,tarde_valle,6,0,6.933,0,0,0,0.34,5,3,3300,1,0
Loyola,Buenos Aires,T,T,tarde_valle,4,0,0.634,1,0,0,0.27,7,15,3300,0,0
San Javier,Hospital,B,A,tarde_pico,6,0,5.018,0,1,0,0.86,2,13,3300,1,1
Alejandro Echavarría,Madera,T,A,tarde_valle,5,0,8.698,0,0,0,0.25,4,10,3300,1,0
Juan XXIII,Villa Sierra,J,K,mañana_pico,6,0,8.743,0,0,0,0.92,4,12,3300,1,1
Acevedo,Aguacatala,A,A,tarde_pico,3,0,11.203,1,1,0,0.84,5,12,3300,0,1
Buenos Aires,Hospital,T,A,madrugada,7,0,2.678,0,0,0,0.1,13,10,3300,1,0
Andalucía,Vallejuelos,K,J,mañana_valle,6,0,8.154,0,0,0,0.33,5,16,3300,1,0
Prado,Bicentenario,A,T,madrugada,3,0,1.816,0,0,0,0.16,11,4,3300,1,0
Miraflores,Industriales,T,A,tarde_pico,7,0,2.916,0,1,0,0.88,2,14,3300,1,1
Madera,La Sierra,A,M,noche,5,0,10.563,0,0,0,0.17,9,15,3300,1,0
La Independencia,Juan XXIII,K,J,mañana_pico,4,0,9.667,0,0,0,0.75,2,18,3300,1,1
Bicentenario,Santo Domingo,T,K,tarde_pico,5,0,7.252,0,0,1,0.9,3,6,3300,1,1
Prado,Universidad,A,A,tarde_pico,6,0,1.629,1,0,0,0.85,4,17,3300,0,1
Suramericana,Bicentenario,B,T,tarde_valle,6,0,3.582,0,0,0,0.44,6,13,3300,1,0
Floresta,Itagüí,B,A,tarde_pico,7,1,9.313,0,0,0,0.8,4,18,3300,1,1
San Javier,Villa Sierra,B,K,noche,2,0,8.434,0,1,0,0.19,10,10,3300,1,0
Santa Lucía,Prado,B,A,noche,6,0,3.422,0,0,0,0.35,7,17,3300,1,0
La Aurora,La Sierra,J,M,mañana_valle,6,0,10.286,0,0,0,0.33,6,18,3300,1,0
Asomadera,Santo Domingo,T,K,tarde_valle,6,0,7.156,0,0,1,0.43,9,18,3300,1,0
Itagüí,Buenos Aires,A,T,madrugada,5,0,11.293,0,0,0,0.11,14,5,3300,1,0
Acevedo,Tricentenario,A,A,mañana_pico,3,0,1.496,1,1,0,0.94,3,10,3300,0,1
Ayurá,Parque Berrío,A,A,madrugada,6,0,6.639,1,0,0,0.18,11,18,3300,0,0
Madera,Trinidad,A,B,tarde_pico,1,0,7.852,0,0,0,0.85,3,18,3300,1,1
Suramericana,Aguacatala,B,A,tarde_valle,7,0,5.148,0,0,0,0.42,9,2,3300,1,0
Suramericana,Miraflores,B,T,tarde_pico,7,0,2.382,0,0,1,0.78,2,1,3300,1,1
Ayurá,Exposiciones,A,A,tarde_valle,7,0,5.407,1,0,0,0.47,5,12,3300,0,0
La Independencia,La Aurora,K,J,noche,5,0,10.641,0,0,0,0.19,11,7,3300,1,0
Itagüí,Loyola,A,T,mañana_pico,6,0,11.696,0,0,0,0.77,3,17,3300,1,1
Hospital,Miraflores,A,T,madrugada,4,0,1.546,0,0,1,0.13,12,5,3300,1,0
San Antonio,Santo Domingo,A,K,mañana_valle,1,0,8.153,0,1,1,0.38,5,2,3300,1,0
Parque Berrío,Floresta,A,B,tarde_valle,1,0,3.958,0,0,0,0.44,9,10,3300,1,1
Oriente,La Independencia,T,K,tarde_valle,3,0,7.19,0,0,0,0.27,9,11,3300,1,1
Vallejuelos,Poblado,J,A,mañana_pico,5,0,8.038,0,0,0,0.77,3,14,3300,1,1
La Aurora,Andalucía,J,K,tarde_pico,1,0,8.632,0,0,0,0.79,3,11,3300,1,1
Floresta,Suramericana,B,B,mañana_valle,2,0,2.265,1,0,0,0.54,8,17,3300,0,0
Asomadera,Villa Sierra,T,K,noche,1,0,7.038,0,0,0,0.17,8,15,3300,1,1
Aguacatala,Trece de Noviembre,A,M,tarde_valle,2,0,4.89,0,0,0,0.49,9,11,3300,1,0
Suramericana,Hospital,B,A,tarde_pico,3,0,2.422,0,0,0,0.84,4,1,3300,1,1
Vallejuelos,Trinidad,J,B,tarde_valle,7,0,4.639,0,0,0,0.37,6,7,3300,1,0
San Javier,Vallejuelos,B,J,madrugada,1,0,2.406,0,1,0,0.12,8,3,3300,1,0
Industriales,La Sierra,A,M,mañana_pico,7,0,3.357,0,0,0,0.96,3,18,3300,1,1
Bicentenario,Tricentenario,T,A,noche,6,0,5.167,0,0,0,0.18,9,11,3300,1,0
Madera,Universidad,A,A,madrugada,1,0,6.099,1,0,0,0.12,12,18,3300,0,0
Tricentenario,La Independencia,A,K,mañana_pico,3,0,3.375,0,0,0,0.85,5,13,3300,1,1
Bicentenario,San Javier,T,B,madrugada,4,0,6.634,0,0,1,0.17,8,3,3300,1,0
La Independencia,Madera,K,A,noche,7,1,4.466,0,0,0,0.34,6,10,3300,1,0
La Estrella,Arví,A,L,madrugada,3,0,19.987,0,0,0,0.18,15,13,3300,1,0
Miraflores,Bello,T,A,tarde_pico,2,0,10.337,0,1,0,0.83,3,13,3300,1,1
La Aurora,Itagüí,J,A,noche,2,0,11.731,0,0,0,0.21,12,12,3300,1,1
Niquía,Villa Sierra,A,K,tarde_valle,2,0,6.778,0,0,0,0.28,4,13,3300,1,0
La Aurora,Villa Sierra,J,K,madrugada,3,0,9.666,0,0,0,0.12,13,7,3300,1,0
Alejandro Echavarría,Vallejuelos,T,J,mañana_pico,2,0,8.276,0,0,0,0.8,4,7,3300,1,1
Hospital,Exposiciones,A,A,noche,7,0,2.917,1,0,0,0.16,12,18,3300,0,0
Loyola,Villa Sierra,T,K,madrugada,3,0,6.87,0,0,0,0.17,12,4,3300,1,0
Exposiciones,Santo Domingo,A,K,tarde_pico,3,0,9.274,0,0,1,0.79,3,4,3300,1,1
Itagüí,Trece de Noviembre,A,M,madrugada,2,0,9.787,0,0,0,0.13,15,11,3300,1,0
Arví,La Estrella,L,A,noche,5,0,19.987,0,0,0,0.18,10,12,3300,1,0
San Javier,Buenos Aires,B,T,mañana_pico,1,0,7.188,0,1,0,0.83,3,14,3300,1,1
Envigado,Suramericana,A,B,mañana_pico,6,0,7.811,0,0,0,0.93,5,15,3300,1,1
Buenos Aires,Santa Lucía,T,B,mañana_valle,4,0,5.624,0,0,0,0.44,5,3,3300,1,1
Envigado,Prado,A,A,tarde_valle,2,0,9.035,1,0,0,0.32,9,3,3300,0,0
Tricentenario,Bello,A,A,tarde_valle,6,0,5.677,1,0,0,0.26,8,13,3300,0,0
La Independencia,Industriales,K,A,madrugada,5,0,9.442,0,0,0,0.13,15,5,3300,1,0
Trinidad,Alejandro Echavarría,B,T,mañana_pico,7,0,3.782,0,0,0,0.96,3,15,3300,1,1
Juan XXIII,Vallejuelos,J,J,madrugada,4,0,1.139,1,0,0,0.14,8,8,3300,0,0
Arví,San Antonio,L,A,tarde_valle,2,0,9.741,0,0,1,0.36,5,5,3300,1,0
Asomadera,Santa Lucía,T,B,madrugada,2,0,6.859,0,0,0,0.18,11,3,3300,1,0
Ayurá,Suramericana,A,B,mañana_pico,1,0,6.421,0,0,0,0.92,4,13,3300,1,1
Asomadera,Loyola,T,T,madrugada,1,0,0.603,1,0,0,0.2,13,4,3300,0,0
Vallejuelos,La Sierra,J,M,mañana_valle,7,0,9.269,0,0,0,0.44,8,6,3300,1,0
Suramericana,Miraflores,B,T,mañana_valle,5,0,2.382,0,0,1,0.46,4,17,3300,1,0
Ayurá,Miraflores,A,T,mañana_pico,5,0,6.75,0,0,1,0.85,4,16,3300,1,1
Asomadera,Arví,T,L,madrugada,5,0,6.375,0,0,0,0.19,15,6,3300,1,0
Poblado,Tricentenario,A,A,tarde_valle,6,0,8.64,1,0,0,0.32,5,6,3300,0,0
San Antonio,Suramericana,A,B,tarde_valle,6,0,1.328,0,1,0,0.45,9,8,3300,1,0
Alejandro Echavarría,Floresta,T,B,noche,1,0,5.275,0,0,0,0.25,9,16,3300,1,0
Industriales,Santo Domingo,A,K,mañana_pico,6,0,10.116,0,0,1,0.96,2,8,3300,1,1
Madera,Parque Berrío,A,A,tarde_valle,5,0,8.209,1,0,0,0.29,9,17,3300,0,0
Madera,La Independencia,A,K,mañana_pico,1,0,4.466,0,0,0,0.79,3,17,3300,1,1
Miraflores,Arví,T,L,tarde_valle,6,0,8.706,0,1,0,0.25,9,10,3300,1,0
Caribe,Poblado,A,A,tarde_pico,5,0,7.475,1,0,0,0.95,5,6,3300,0,1
Poblado,Bicentenario,A,T,tarde_valle,2,0,5.054,0,0,0,0.45,5,17,3300,1,0
Ayurá,San Antonio,A,A,noche,6,0,6.278,1,0,1,0.22,9,3,3300,0,0
Poblado,Miraflores,A,T,tarde_pico,2,0,4.418,0,0,1,0.73,3,17,3300,1,1
Juan XXIII,Alejandro Echavarría,J,T,mañana_pico,5,0,7.223,0,0,0,0.77,5,2,3300,1,1
La Aurora,Juan XXIII,J,J,madrugada,1,0,2.168,1,0,0,0.15,10,18,3300,0,0
Niquía,Buenos Aires,A,T,tarde_valle,4,0,12.632,0,0,0,0.34,4,17,3300,1,0
Bicentenario,Poblado,T,A,tarde_pico,7,0,5.054,0,0,0,0.79,2,14,3300,1,1
Prado,Envigado,A,A,tarde_pico,7,1,9.035,1,0,0,0.91,4,18,3300,0,1
Alejandro Echavarría,Ayurá,T,A,mañana_pico,1,0,6.994,0,0,0,0.93,2,17,3300,1,1
Hospital,La Aurora,A,J,madrugada,4,0,7.85,0,0,0,0.17,13,14,3300,1,0
Trinidad,Universidad,B,A,mañana_pico,4,0,3.42,0,0,0,0.91,4,9,3300,1,1
La Aurora,Bicentenario,J,T,tarde_valle,3,0,9.781,0,0,0,0.4,9,13,3300,1,0
Industriales,Bicentenario,A,T,tarde_valle,7,0,3.922,0,0,0,0.29,8,18,3300,1,0
Asomadera,Ayurá,T,A,mañana_valle,5,0,8.178,0,0,0,0.39,7,5,3300,1,0
Hospital,Aguacatala,A,A,tarde_pico,7,0,6.795,1,0,0,0.74,3,17,3300,0,1
Miraflores,Floresta,T,B,tarde_valle,5,0,4.621,0,1,0,0.42,9,2,3300,1,1
San Antonio,Miraflores,A,T,noche,1,0,1.095,0,1,1,0.31,12,5,3300,1,0
Asomadera,Arví,T,L,tarde_pico,1,0,6.375,0,0,0,0.72,3,12,3300,1,1
Caribe,Arví,A,L,madrugada,6,0,8.383,0,0,0,0.14,14,17,3300,1,0
Itagüí,Arví,A,L,madrugada,7,0,18.492,0,0,0,0.16,15,1,3300,1,0
Exposiciones,La Aurora,A,J,mañana_valle,2,0,7.194,0,0,0,0.31,8,17,3300,1,0
Vallejuelos,Poblado,J,A,tarde_valle,2,0,8.038,0,0,0,0.42,6,8,3300,1,0
La Sierra,Niquía,M,A,mañana_pico,1,0,13.91,0,0,0,1.0,5,12,3300,1,1
Miraflores,Alejandro Echavarría,T,T,tarde_valle,2,0,0.658,1,1,0,0.38,9,3,3300,0,0
Caribe,Villa Sierra,A,K,mañana_valle,6,0,3.465,0,0,0,0.51,8,12,3300,1,0
Santa Lucía,Envigado,B,A,mañana_pico,5,0,7.99,0,0,0,0.99,5,13,3300,1,1
Villa Sierra,Niquía,K,A,mañana_valle,2,0,6.778,0,0,0,0.4,4,18,3300,1,0
Tricentenario,Vallejuelos,A,J,mañana_valle,3,0,6.864,0,0,0,0.54,8,9,3300,1,0
La Aurora,La Independencia,J,K,mañana_valle,6,0,10.641,0,0,0,0.41,7,16,3300,1,0
Aguacatala,Santa Lucía,A,B,tarde_pico,6,0,5.743,0,0,0,0.82,2,16,3300,1,1
Hospital,Envigado,A,A,madrugada,4,0,9.747,1,0,0,0.16,11,8,3300,0,0
San Javier,Bicentenario,B,T,mañana_valle,5,0,6.634,0,1,0,0.43,6,8,3300,1,0
Itagüí,Caribe,A,A,tarde_pico,6,0,13.031,1,0,0,0.89,4,3,3300,0,1
Andalucía,Alpujarra,K,A,tarde_pico,3,0,6.889,0,0,0,0.79,4,6,3300,1,1
Exposiciones,Juan XXIII,A,J,noche,2,0,5.035,0,0,0,0.2,7,9,3300,1,1
Industriales,Aguacatala,A,A,mañana_pico,7,1,3.344,1,0,0,0.9,3,4,3300,0,0
Hospital,Caribe,A,A,noche,6,0,2.017,1,0,0,0.25,6,18,3300,0,0
Madera,Oriente,A,T,mañana_valle,5,0,10.285,0,0,0,0.38,8,9,3300,1,1
Oriente,Alpujarra,T,A,tarde_valle,3,0,5.211,0,0,0,0.35,8,5,3300,1,1
Acevedo,La Aurora,A,J,tarde_pico,4,0,7.577,0,1,0,0.93,2,17,3300,1,1
Santa Lucía,Alejandro Echavarría,B,T,noche,7,1,4.527,0,0,0,0.35,11,17,3300,1,0
Loyola,San Javier,T,B,noche,1,0,7.819,0,0,1,0.15,7,13,3300,1,0
La Independencia,Universidad,K,A,mañana_valle,3,0,4.928,0,0,0,0.45,6,6,3300,1,0
Andalucía,Ayurá,K,A,mañana_pico,3,0,12.811,0,0,0,0.87,4,12,3300,1,1
Alpujarra,Juan XXIII,A,J,tarde_pico,2,0,5.23,0,0,0,0.8,4,12,3300,1,1
Miraflores,Envigado,T,A,tarde_pico,2,0,8.569,0,1,0,0.84,3,4,3300,1,1
Envigado,Aguacatala,A,A,tarde_valle,4,0,3.1,1,0,0,0.46,5,5,3300,0,0
Parque Berrío,Oriente,A,T,madrugada,2,0,4.297,0,0,0,0.14,10,17,3300,1,0
La Aurora,San Javier,J,B,tarde_pico,3,0,3.436,0,0,1,0.76,2,13,3300,1,1
Universidad,Alpujarra,A,A,madrugada,2,0,3.041,1,0,0,0.18,15,4,3300,0,0
Buenos Aires,Floresta,T,B,mañana_valle,3,0,6.371,0,0,0,0.39,8,9,3300,1,0
Santa Lucía,Bello,B,A,tarde_pico,1,0,9.343,0,0,0,0.79,3,18,3300,1,1
Alpujarra,La Estrella,A,A,mañana_valle,3,0,10.464,1,0,0,0.47,7,15,3300,0,0
Caribe,Miraflores,A,T,tarde_valle,3,0,3.561,0,0,1,0.37,5,6,3300,1,1
Trece de Noviembre,Floresta,M,B,tarde_pico,6,0,5.222,0,0,0,0.85,5,3,3300,1,1
Caribe,Alpujarra,A,A,mañana_valle,2,0,4.007,1,0,0,0.38,6,9,3300,0,1
Santo Domingo,Miraflores,K,T,mañana_valle,4,0,7.538,0,1,1,0.5,6,17,3300,1,0
Buenos Aires,Alejandro Echavarría,T,T,mañana_pico,2,0,1.098,1,0,0,0.96,3,8,3300,0,1
Ayurá,Caribe,A,A,mañana_pico,2,0,9.93,1,0,0,0.85,2,3,3300,0,1
Asomadera,Villa Sierra,T,K,madrugada,1,0,7.038,0,0,0,0.18,9,4,3300,1,0
Ayurá,Trece de Noviembre,A,M,mañana_pico,1,0,6.059,0,0,0,0.91,5,10,3300,1,1
Poblado,Ayurá,A,A,noche,3,0,2.462,1,0,0,0.24,7,5,3300,0,0
Vallejuelos,San Antonio,J,A,madrugada,1,0,6.682,0,0,1,0.17,13,16,3300,1,0
Loyola,Andalucía,T,K,mañana_valle,5,0,6.932,0,0,0,0.41,8,6,3300,1,0
La Independencia,Arví,K,L,tarde_pico,6,0,6.304,0,0,0,0.89,5,17,3300,1,1
Trece de Noviembre,La Sierra,M,M,tarde_valle,3,0,1.116,1,0,0,0.48,7,18,3300,0,0
Poblado,Caribe,A,A,tarde_pico,3,0,7.475,1,0,0,0.79,4,5,3300,0,1
La Estrella,Niquía,A,A,madrugada,5,0,20.557,1,0,0,0.18,10,12,3300,0,0
Itagüí,Oriente,A,T,tarde_valle,1,0,12.563,0,0,0,0.42,7,16,3300,1,0
La Estrella,Niquía,A,A,tarde_pico,7,1,20.557,1,0,0,0.76,2,18,3300,0,1
Trinidad,Exposiciones,B,A,tarde_pico,5,0,1.616,0,0,0,0.81,3,6,3300,1,1
La Sierra,Suramericana,M,B,tarde_pico,2,0,3.905,0,0,0,0.77,5,8,3300,1,1
Vallejuelos,Trece de Noviembre,J,M,noche,6,0,8.338,0,0,0,0.2,11,18,3300,1,0
Envigado,Bicentenario,A,T,mañana_pico,7,1,9.149,0,0,0,0.78,2,15,3300,1,1
Arví,Buenos Aires,L,T,mañana_valle,6,0,7.292,0,0,0,0.46,5,11,3300,1,0
Bello,San Antonio,A,A,madrugada,5,0,10.217,1,0,1,0.1,9,10,3300,0,0
Envigado,Prado,A,A,noche,4,0,9.035,1,0,0,0.3,7,3,3300,0,0
Parque Berrío,Niquía,A,A,tarde_pico,2,0,11.485,1,0,0,0.79,4,16,3300,0,1
Trinidad,Asomadera,B,T,noche,7,1,6.116,0,0,0,0.17,12,5,3300,1,0
Acevedo,Itagüí,A,A,tarde_pico,1,0,15.351,1,1,0,0.84,3,7,3300,0,1
Ayurá,Miraflores,A,T,madrugada,1,0,6.75,0,0,1,0.2,11,13,3300,1,0
Buenos Aires,Aguacatala,T,A,noche,1,0,6.357,0,0,0,0.19,11,4,3300,1,0
Vallejuelos,Industriales,J,A,tarde_pico,4,0,6.342,0,0,0,0.87,4,11,3300,1,1
San Antonio,La Sierra,A,M,noche,1,0,2.679,0,1,0,0.3,10,17,3300,1,0
Hospital,Envigado,A,A,tarde_pico,6,0,9.747,1,0,0,0.77,4,2,3300,0,1
Industriales,Hospital,A,A,mañana_pico,6,0,3.755,1,0,0,0.86,2,6,3300,0,1
Envigado,Santo Domingo,A,K,madrugada,4,0,16.076,0,0,1,0.18,8,2,3300,1,0
La Independencia,Asomadera,K,T,noche,5,0,7.018,0,0,0,0.18,12,3,3300,1,0
Aguacatala,San Antonio,A,A,tarde_pico,1,0,5.007,1,0,1,0.87,4,2,3300,0,1
Acevedo,Trinidad,A,B,noche,2,0,6.128,0,1,0,0.29,12,4,3300,1,0
Prado,Juan XXIII,A,J,mañana_pico,3,0,6.014,0,0,0,1.0,4,15,3300,1,1
Exposiciones,Bello,A,A,noche,4,0,10.797,1,0,0,0.22,7,9,3300,0,0
Madera,Juan XXIII,A,J,noche,4,0,7.576,0,0,0,0.26,10,16,3300,1,0
Exposiciones,La Independencia,A,K,mañana_pico,5,0,8.594,0,0,0,0.84,5,9,3300,1,1
Santo Domingo,Andalucía,K,K,mañana_pico,1,0,3.04,1,1,0,0.88,5,10,3300,0,1
Ayurá,Andalucía,A,K,mañana_valle,4,0,12.811,0,0,0,0.3,8,13,3300,1,1
Alpujarra,Bello,A,A,tarde_valle,7,0,10.388,1,0,0,0.41,6,3,3300,0,0
La Aurora,Suramericana,J,B,mañana_pico,5,0,6.388,0,0,0,0.92,3,10,3300,1,1
San Javier,Bicentenario,B,T,noche,3,0,6.634,0,1,0,0.17,10,3,3300,1,0
Madera,Parque Berrío,A,A,mañana_pico,7,1,8.209,1,0,0,0.78,3,4,3300,0,0
Madera,La Independencia,A,K,noche,7,0,4.466,0,0,0,0.25,10,9,3300,1,0
Acevedo,Suramericana,A,B,mañana_pico,5,0,6.118,0,1,0,0.93,2,7,3300,1,1
La Sierra,Oriente,M,T,madrugada,4,0,3.148,0,0,0,0.18,8,12,3300,1,0
Andalucía,Alejandro Echavarría,K,T,mañana_valle,7,0,6.374,0,0,0,0.51,6,17,3300,1,0
Madera,Caribe,A,A,mañana_valle,1,0,4.928,1,0,0,0.54,8,4,3300,0,0
Universidad,Aguacatala,A,A,tarde_valle,4,0,7.633,1,0,0,0.3,8,8,3300,0,0
